Id,Company,Status,StatusStart,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,ObjectId,LatestEventStart,LatestEventEnd,x,y
SRN9105,Southern Water,0,5/2/2024 2:44:00 AM,50.7640128321776,-1.29667415835892,MEDINA,12/22/2024 3:15:00 PM,6168947,5/2/2024 2:44:00 AM,5/2/2024 3:16:00 AM,-144345.107033312,6579656.0075747
SRN0522,Southern Water,0,12/5/2024 3:13:03 AM,50.7081843684226,-1.21494157259863,BLACKBRIDGE BROOK,12/22/2024 3:15:00 PM,6168948,12/5/2024 3:13:03 AM,12/5/2024 7:15:00 AM,-135246.677205258,6569836.34579427
SRN0620,Southern Water,0,2/25/2024 7:14:02 PM,50.7043248725929,-1.30691404042238,MEDINA,12/22/2024 3:15:00 PM,6168949,2/25/2024 7:14:02 PM,2/25/2024 7:20:02 PM,-145485.005490399,6569157.93183966
SRN0405,Southern Water,0,12/19/2024 3:58:19 AM,50.763931048107,-1.29653359000178,MEDINA,12/22/2024 3:15:00 PM,6168950,12/19/2024 3:58:19 AM,12/19/2024 4:03:39 AM,-144329.459035373,6579641.6140189
SRN0417,Southern Water,0,12/5/2024 4:38:15 AM,50.6781267607788,-1.10009076946282,YAR,12/22/2024 3:15:00 PM,6168951,12/5/2024 4:38:15 AM,12/5/2024 1:15:53 PM,-122461.544282982,6564554.35888138
SRN0455,Southern Water,0,11/27/2024 1:00:00 AM,50.6954790636574,-1.50526673061399,YAR,12/22/2024 3:15:00 PM,6168952,11/27/2024 1:00:00 AM,11/27/2024 11:00:00 AM,-167565.525960005,6567603.24502425
SRN0463,Southern Water,0,7/15/2024 6:30:00 PM,50.7245309965145,-1.22529413819777,WOOTTON CREEK,12/22/2024 3:15:00 PM,6168953,7/15/2024 6:30:00 PM,7/15/2024 7:38:00 PM,-136399.119536159,6572710.34063417
SRN0466,Southern Water,0,11/27/2024 7:36:00 AM,50.6517604885115,-1.1706161119771,TRIBUTARY OF RIVER YAR,12/22/2024 3:15:00 PM,6168954,11/27/2024 7:36:00 AM,11/27/2024 7:54:00 AM,-130312.389499692,6559923.83031751
SRN0469,Southern Water,0,12/6/2024 11:38:04 PM,50.6898457412049,-1.06928692913081,ENGLISH CHANNEL,12/22/2024 3:15:00 PM,6168955,12/6/2024 11:38:04 PM,12/7/2024 7:30:00 PM,-119032.476462745,6566613.31855755
SRN0470,Southern Water,0,11/27/2024 7:54:42 AM,50.6701010832082,-1.2086428198306,IOW STREAMS,12/22/2024 3:15:00 PM,6168956,11/27/2024 7:54:42 AM,11/28/2024 3:08:12 AM,-134545.503254489,6563144.58856669
SRN0472,Southern Water,0,11/27/2024 3:30:00 AM,50.6941920310615,-1.10757058985283,YAR,12/22/2024 3:15:00 PM,6168957,11/27/2024 3:30:00 AM,11/27/2024 3:45:00 AM,-123294.194080023,6567377.06825787
SRN0491,Southern Water,0,10/25/2023 6:38:20 AM,50.7135492376521,-1.37320818166771,IOW STREAMS,12/22/2024 3:15:00 PM,6168958,10/25/2023 6:38:20 AM,10/25/2023 8:56:32 AM,-152864.835536407,6570779.46385717
SRN0546,Southern Water,0,10/16/2024 4:07:00 PM,50.759131367574,-1.29249393209197,MEDINA,12/22/2024 3:15:00 PM,6168959,10/16/2024 4:07:00 PM,10/16/2024 4:09:00 PM,-143879.766373874,6578796.9401642
SRN0563,Southern Water,0,1/4/2024 3:36:06 PM,50.703380455857,-1.50235137834857,YAR,12/22/2024 3:15:00 PM,6168960,1/4/2024 3:36:06 PM,1/4/2024 4:13:00 PM,-167240.990430335,6568991.93278195
SRN0585,Southern Water,0,12/6/2024 11:40:50 PM,50.7259109164578,-1.22589477431701,WOOTTON CREEK,12/22/2024 3:15:00 PM,6168961,12/6/2024 11:40:50 PM,12/7/2024 12:08:40 AM,-136465.982043105,6572952.99819585
